Scopus refine results values

"Your query : (SOURCE-ID (21100812243))"


Number of results : 613

"OPEN ACCESS",,"YEAR",,"AUTHOR NAME",,"SUBJECT AREA",,"DOCUMENT TYPE",,"PUBLICATION STAGE",,"SOURCE TITLE",,"KEYWORD",,"AFFILIATION",,"FUNDING SPONSOR",,"COUNTRY",,"SOURCE TYPE",,"LANGUAGE",
"All Open Access","291","2021","150","Pacchioni, G.","58","Energy","613","Review","301","final","581","Nature Reviews Materials","613","Tissue","20","Massachusetts Institute of Technology","32","National Science Foundation","77","United States","254","Journal","613","English","613"
"Hybrid Gold","7","2020","91","Stoddart, A.","31","Materials Science","613","Note","241","aip","32",,,"Perovskite","15","Harvard University","21","National Institutes of Health","40","China","73",,,,
"Bronze","182","2019","84","Horejs, C.M.","27",,,"Article","32",,,,,"Cytology","14","University of California, Berkeley","21","U.S. Department of Energy","38","United Kingdom","54",,,,
"Green","122","2018","92","Brotchie, A.","20",,,"Erratum","21",,,,,"Diagnosis","14","Stanford University","15","European Research Council","31","Germany","46",,,,
,,"2017","92","Ashworth, C.","19",,,"Editorial","16",,,,,"Controlled Drug Delivery","13","Harvard John A. Paulson School of Engineering and Applied Sciences","15","Horizon 2020 Framework Programme","28","Switzerland","27",,,,
,,"2016","104","Horejs, C.","19",,,"Letter","2",,,,,"Diseases","13","Lawrence Berkeley National Laboratory","14","Office of Science","26","Canada","26",,,,
,,,,"Anirban, A.","7",,,,,,,,,"Cell Engineering","11","Chinese Academy of Sciences","14","National Natural Science Foundation of China","24","Japan","21",,,,
,,,,"Vartanian, A.","6",,,,,,,,,"Materials","11","University of Toronto","13","Office of Naval Research","24","Singapore","19",,,,
,,,,"Alù, A.","4",,,,,,,,,"Clinical Translation","10","ETH Zürich","13","U.S. Department of Defense","22","South Korea","16",,,,
,,,,"Langer, R.","4",,,,,,,,,"Metals","10","University of Cambridge","13","Engineering and Physical Sciences Research Council","21","France","15",,,,
,,,,"Sargent, E.H.","4",,,,,,,,,"Targeted Drug Delivery","10","Ecole Polytechnique Fédérale de Lausanne","12","Air Force Office of Scientific Research","20","Netherlands","12",,,,
,,,,"Aghi, M.K.","3",,,,,,,,,"Cell Culture","9","Princeton University","11","European Commission","20","Australia","11",,,,
,,,,"Armani, A.M.","3",,,,,,,,,"Cells","9","Imperial College London","11","Basic Energy Sciences","18","Israel","11",,,,
,,,,"Aspuru-Guzik, A.","3",,,,,,,,,"Optical Properties","9","Harvard Medical School","10","Deutsche Forschungsgemeinschaft","14","Saudi Arabia","10",,,,
,,,,"Budrikis, Z.","3",,,,,,,,,"Stem Cells","9","Nanyang Technological University","10","Army Research Office","12","Spain","10",,,,
,,,,"Buehler, M.J.","3",,,,,,,,,"3D Printers","8","Cornell University","10","Defense Advanced Research Projects Agency","11","Hong Kong","8",,,,
,,,,"Chen, J.","3",,,,,,,,,"Nanoparticles","8","National University of Singapore","10","Japan Society for the Promotion of Science","11","Italy","8",,,,
,,,,"Coombes, J.D.","3",,,,,,,,,"Quantum Optics","8","Georgia Institute of Technology","10","Natural Sciences and Engineering Research Council of Canada","11","Sweden","7",,,,
,,,,"Felser, C.","3",,,,,,,,,"Solar Power Generation","8","University of California, Los Angeles","10","Ministry of Education, Culture, Sports, Science and Technology","10","Denmark","6",,,,
,,,,"Kumar, S.","3",,,,,,,,,"Biological Materials","7","The University of Chicago","10","Schweizerischer Nationalfonds zur Förderung der Wissenschaftlichen Forschung","10","Belgium","4",,,,
,,,,"Meier, D.","3",,,,,,,,,"Characterization Techniques","7","University of California, San Diego","10","Air Force Materiel Command","9","Russian Federation","4",,,,
,,,,"Passerini, S.","3",,,,,,,,,"Defects","7","Tsinghua University","9","U.S. Air Force","9","Austria","3",,,,
,,,,"Wolf, K.J.","3",,,,,,,,,"Design Principles","7","Northwestern University","8","Division of Materials Sciences and Engineering","8","Czech Republic","3",,,,
,,,,"Aharonovich, I.","2",,,,,,,,,"Extracellular Matrices","7","CNRS Centre National de la Recherche Scientifique","8","Laboratory Directed Research and Development","8","Mexico","3",,,,
,,,,"Aizenberg, J.","2",,,,,,,,,"Future Applications","7","The University of Texas at Austin","8","Seventh Framework Programme","8","Hungary","2",,,,
,,,,"Amine, K.","2",,,,,,,,,"Nanostructures","7","The University of Tokyo","8","UK Research and Innovation","8","Portugal","2",,,,
,,,,"Anasori, B.","2",,,,,,,,,"Optoelectronic Devices","7","Argonne National Laboratory","8","National Research Foundation of Korea","7","South Africa","2",,,,
,,,,"Anderson, C.P.","2",,,,,,,,,"Polymers","7","University of California, Santa Barbara","8","U.S. Navy","7","Armenia","1",,,,
,,,,"Armstrong, J.P.K.","2",,,,,,,,,"Robots","7","Duke University","7","National Nuclear Security Administration","6","Brazil","1",,,,
,,,,"Aurbach, D.","2",,,,,,,,,"Solar Cells","7","University of Washington","7","Australian Research Council","5","Egypt","1",,,,
,,,,"Awschalom, D.D.","2",,,,,,,,,"Tissue Engineering","7","Pacific Northwest National Laboratory","7","Chinese Academy of Sciences","5","India","1",,,,
,,,,"Aykol, M.","2",,,,,,,,,"Topology","7","Columbia University","7","Gordon and Betty Moore Foundation","5","Ireland","1",,,,
,,,,"Bao, Z.","2",,,,,,,,,"Biocompatibility","6","University of Toronto, Institute of Biomedical Engineering","7","National Key Research and Development Program of China","5","Luxembourg","1",,,,
,,,,"Berggren, M.","2",,,,,,,,,"Biomaterials","6","Rutgers University–New Brunswick","7","Nederlandse Organisatie voor Wetenschappelijk Onderzoek","5","New Zealand","1",,,,
,,,,"Berlinguette, C.P.","2",,,,,,,,,"Energy Conversion","6","University of Colorado Boulder","6","Office of Energy Efficiency and Renewable Energy","5","Norway","1",,,,
,,,,"Bo, S.H.","2",,,,,,,,,"Energy Efficiency","6","Tohoku University","6","Schweizerischer Nationalfonds zur F&#x00F6;rderung der Wissenschaftlichen Forschung","5","Qatar","1",,,,
,,,,"Burdick, J.A.","2",,,,,,,,,"Energy Storage","6","Fudan University","6","Welch Foundation","5","Slovenia","1",,,,
,,,,"Buzzi, M.","2",,,,,,,,,"Histology","6","University of California, San Francisco","6","Agence Nationale de la Recherche","4","Turkey","1",,,,
,,,,"Cahen, D.","2",,,,,,,,,"Materials Design","6","Pritzker School of Molecular Engineering","6","Alexander von Humboldt-Stiftung","4","Undefined","213",,,,
,,,,"Cavalleri, A.","2",,,,,,,,,"Materials Research","6","Emory University","5","Canadian Institutes of Health Research","4",,,,,,
,,,,"Ceder, G.","2",,,,,,,,,"Medical Applications","6","Ministry of Education China","5","Harvard University","4",,,,,,
,,,,"Chabinyc, M.L.","2",,,,,,,,,"Metal Halides","6","Johns Hopkins University","5","Materials Research Science and Engineering Center, Harvard University","4",,,,,,
,,,,"Chan, W.C.W.","2",,,,,,,,,"Nanostructured Materials","6","Yale University","5","Ministry of Science and Technology of the People's Republic of China","4",,,,,,
,,,,"Cheetham, A.K.","2",,,,,,,,,"Nucleic Acids","6","The University of British Columbia","5","National Cancer Institute","4",,,,,,
,,,,"Cheng, D.","2",,,,,,,,,"Perovskite Solar Cells","6","Weizmann Institute of Science Israel","5","Simons Foundation","4",,,,,,
,,,,"Chhowalla, M.","2",,,,,,,,,"Power Conversion Efficiencies","6","Oak Ridge National Laboratory","5","U.S. Army Combat Capabilities Development Command","4",,,,,,
,,,,"Christensen, J.","2",,,,,,,,,"Redox Reactions","6","King Abdullah University of Science and Technology","5","Advanced Research Projects Agency - Energy","3",,,,,,
,,,,"Curtarolo, S.","2",,,,,,,,,"Synthesis (chemical)","6","Karlsruher Institut für Technologie","5","Ames Laboratory","3",,,,,,
,,,,"Dalby, M.J.","2",,,,,,,,,"Tissue Regeneration","6","Department of Physics","5","Austrian Science Fund","3",,,,,,
,,,,"Diebold, U.","2",,,,,,,,,"Transition Metals","6","Nature Reviews Materials","4","Bundesministerium für Bildung und Forschung","3",,,,,,
,,,,"Dong, Y.","2",,,,,,,,,"Biomedical Applications","5","University of Glasgow","4","Chemical Sciences, Geosciences, and Biosciences Division","3",,,,,,
,,,,"Duan, X.","2",,,,,,,,,"Charge Transfer","5","Max Planck Institute for Chemical Physics of Solids","4","Congressionally Directed Medical Research Programs","3",,,,,,
,,,,"Dyck, O.","2",,,,,,,,,"Chemical Stability","5","Zhejiang University","4","Defense Threat Reduction Agency","3",,,,,,
,,,,"Edel, J.B.","2",,,,,,,,,"Crystalline Materials","5","Rice University","4","Israel Science Foundation","3",,,,,,
,,,,"Fang, R.H.","2",,,,,,,,,"Efficiency","5","University of Pennsylvania","4","Japan Science and Technology Agency","3",,,,,,
,,,,"Fiebig, M.","2",,,,,,,,,"Electronic Structure","5","Hong Kong University of Science and Technology","4","King Abdullah University of Science and Technology","3",,,,,,
,,,,"Fleury, R.","2",,,,,,,,,"Functional Materials","5","Soochow University","4","Leverhulme Trust","3",,,,,,
,,,,"Franchini, C.","2",,,,,,,,,"Halide Perovskites","5","Technical University of Denmark","4","Max-Planck-Gesellschaft","3",,,,,,
,,,,"Friend, R.H.","2",,,,,,,,,"Hybrid Materials","5","Institute of Physics Chinese Academy of Sciences","4","Ministerio de Economía y Competitividad","3",,,,,,
,,,,"Fu, X.","2",,,,,,,,,"Inorganic Semiconductors","5","Seoul National University","4","Ministry of Education - Singapore","3",,,,,,
,,,,"Först, M.","2",,,,,,,,,"Ions","5","Peking University","4","Ministry of Science and ICT, South Korea","3",,,,,,
,,,,"Gali, A.","2",,,,,,,,,"Machine Design","5","Brigham and Women's Hospital","4","Multidisciplinary University Research Initiative","3",,,,,,
,,,,"Galli, G.","2",,,,,,,,,"Manufacture","5","Xiamen University","4","National Institute of Allergy and Infectious Diseases","3",,,,,,
,,,,"Gao, W.","2",,,,,,,,,"Materials Properties","5","Technische Universität Dresden","4","National Institute of Biomedical Imaging and Bioengineering","3",,,,,,
,,,,"García, A.J.","2",,,,,,,,,"Nanotechnology","5","Texas A&amp;M University","4","National Institute of Dental and Craniofacial Research","3",,,,,,
,,,,"Ginebra, M.P.","2",,,,,,,,,"Physical Principles","5","Shanghai Jiao Tong University","4","National Renewable Energy Laboratory","3",,,,,,
,,,,"Glezakou, V.A.","2",,,,,,,,,"Physiology","5","SLAC National Accelerator Laboratory","4","Northwestern University","3",,,,,,
